70,0.083333333,5,-0.20198887,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,16,KEEP
70,0.166666667,10,-0.07474482,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,16,KEEP
70,0.333333333,20,0.197564815,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,16,KEEP
75,0,0,-0.008006469,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,17,KEEP
75,0.083333333,5,0.438291844,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,17,KEEP
75,0.166666667,10,1.174861367,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,17,KEEP
75,0.333333333,20,0.627502264,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,17,KEEP
80,0,0,-0.013825629,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,18,KEEP
80,0.083333333,5,0.516971449,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,18,KEEP
80,0.166666667,10,0.142786201,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,18,KEEP
80,0.333333333,20,0.346570804,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,18,KEEP
85,0,0,0.313030094,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,19,KEEP
85,0.083333333,5,0.102165107,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,19,KEEP
85,0.166666667,10,0.373370327,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,19,KEEP
85,0.333333333,20,0.60813679,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,19,KEEP
100,0,0,0.039278627,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,20,KEEP
100,0.083333333,5,1.021244272,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,20,KEEP
100,0.166666667,10,1.02196204,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,20,KEEP
100,0.333333333,20,1.903360901,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,Genotype 3 ,6.407969465,Cell,TRUE,DATASET6,20,KEEP
23,0,0,2.05E-05,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,21,KEEP
23,0.083333333,5,0.116227028,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,21,KEEP
23,0.166666667,10,0.147521846,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,21,KEEP
23,0.333333333,20,0.077318896,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,21,KEEP
70,0,0,0.099894482,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,22,KEEP
70,0.083333333,5,0.136762594,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,22,KEEP
70,0.166666667,10,0.308825907,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,22,KEEP
70,0.333333333,20,0.412876659,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,22,KEEP
75,0,0,0.031218858,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,23,KEEP
75,0.083333333,5,0.184177562,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,23,KEEP
75,0.166666667,10,0.302079036,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,23,KEEP
75,0.333333333,20,0.272100841,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,23,KEEP
80,0,0,0.096008803,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,24,KEEP
80,0.083333333,5,0.254819918,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,24,KEEP
80,0.166666667,10,0.216335226,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,24,KEEP
80,0.333333333,20,0.232010514,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,24,KEEP
85,0,0,0.158913818,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,25,KEEP
85,0.083333333,5,0.201707612,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,25,KEEP
85,0.166666667,10,0.267269353,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,25,KEEP
85,0.333333333,20,0.328971828,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,25,KEEP
100,0,0,0.252270799,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,26,KEEP
100,0.083333333,5,0.355032676,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,26,KEEP
100,0.166666667,10,0.430445644,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,26,KEEP
100,0.333333333,20,0.457387478,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,REIMAR CELL CULTURE VIRUS,4.33,Cell,TRUE,DATASET7,26,KEEP
23,0,0,0.121399674,APHA VIRUS - THIS DATA DOES NOT LOOK GOOD TO ME,None,4.53,Faecal,TRUE,DATASET8,31,EXCLUDE
23,0.083333333,5,-0.016698757,APHA VIRUS  -  INPUT AVERAGE OF RT SOME POINTS OUT OF LINE BUT QUALITY OK,None,4.53,Faecal,TRUE,DATASET8,31,EXCLUDE
23,0.166666667,10,-0.032755636,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,31,EXCLUDE
23,0.333333333,20,-0.051663489,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,31,EXCLUDE
70,0,0,0.20036639,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,32,EXCLUDE
70,0.083333333,5,0.085599426,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,32,EXCLUDE
70,0.166666667,10,-0.057854073,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,32,EXCLUDE
70,0.333333333,20,0.107265241,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,32,EXCLUDE
75,0,0,-0.012679299,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,33,EXCLUDE
75,0.083333333,5,0.147517015,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,33,EXCLUDE
75,0.166666667,10,-0.031248363,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,33,EXCLUDE
75,0.333333333,20,0.087579966,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,33,EXCLUDE
80,0,0,0.120562269,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,34,EXCLUDE
80,0.083333333,5,-0.037467315,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,34,EXCLUDE
80,0.166666667,10,-0.044079747,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,34,EXCLUDE
80,0.333333333,20,0.023946839,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,34,EXCLUDE
85,0,0,0.145350422,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,35,EXCLUDE
85,0.083333333,5,0.165287325,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,35,EXCLUDE
85,0.166666667,10,0.014106938,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,35,EXCLUDE
85,0.333333333,20,0.063405631,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,35,EXCLUDE
100,0,0,0.292407703,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,36,EXCLUDE
100,0.083333333,5,0.393758094,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,36,EXCLUDE
100,0.166666667,10,0.392441859,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,36,EXCLUDE
100,0.333333333,20,0.5436626,APHA VIRUS,None,4.53,Faecal,TRUE,DATASET8,36,EXCLUDE
85,0,0,0,Human virus derived from serum diluted in PBS ph7.4,None,4.05,Serum,TRUE,DATASET9,27,KEEP
85,0.083333333,5,0.555533429,Human virus derived from serum diluted in PBS ph7.4,None,4.05,Serum,TRUE,DATASET9,27,KEEP
85,0.166666667,10,0.442868668,Human virus derived from serum diluted in PBS ph7.4,None,4.05,Serum,TRUE,DATASET9,27,KEEP
85,0.25,15,0.348398398,Human virus derived from serum diluted in PBS ph7.4,None,4.05,Serum,TRUE,DATASET9,27,KEEP
85,0.333333333,20,0.339056545,Human virus derived from serum diluted in PBS ph7.4,None,4.05,Serum,TRUE,DATASET9,27,KEEP
95,0,0,0.106797578,Human virus derived from serum diluted in PBS ph7.4,None,4.05,Serum,TRUE,DATASET9,28,KEEP
95,0.083333333,5,0.226907145,Human virus derived from serum diluted in PBS ph7.4,None,4.05,Serum,TRUE,DATASET9,28,KEEP
95,0.166666667,10,0.451925783,Human virus derived from serum diluted in PBS ph7.4,None,4.05,Serum,TRUE,DATASET9,28,KEEP
95,0.25,15,0.533291614,Human virus derived from serum diluted in PBS ph7.4,None,4.05,Serum,TRUE,DATASET9,28,KEEP
95,0.333333333,20,0.550035957,Human virus derived from serum diluted in PBS ph7.4,None,4.05,Serum,TRUE,DATASET9,28,KEEP
95,0,0,0.689306688,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,None,4,Cell,TRUE,DATASET10,29,KEEP
95,0.083333333,5,0.673869043,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,None,4,Cell,TRUE,DATASET10,29,KEEP
95,0.166666667,10,0.797511683,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,None,4,Cell,TRUE,DATASET10,29,KEEP
95,0.25,15,0.895854449,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,None,4,Cell,TRUE,DATASET10,29,KEEP
95,0.333333333,20,0.894830572,Virus obtained from Supernatant derived from A459 HEV-infected cell line ,None,4,Cell,TRUE,DATASET10,29,KEEP
95,0,0,0,APHA VIRUS,None,4.8,Faecal,TRUE,DATASET11,30,KEEP
95,0.083333333,5,0.218164977,APHA VIRUS,None,4.8,Faecal,TRUE,DATASET11,30,KEEP
95,0.166666667,10,0.096603948,APHA VIRUS,None,4.8,Faecal,TRUE,DATASET11,30,KEEP
95,0.25,15,0.171565579,APHA VIRUS,None,4.8,Faecal,TRUE,DATASET11,30,KEEP
95,0.333333333,20,0.223017351,APHA VIRUS,None,4.8,Faecal,TRUE,DATASET11,30,KEEP
74,0,0,-0.05,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,31,KEEP
74,0.083333333,5,0.17,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,31,KEEP
74,0.166666667,10,0.15,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,31,KEEP
74,0.25,15,0.25,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,31,KEEP
74,0.333333333,20,0.5,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,31,KEEP
82,0,0,0.05,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,32,KEEP
82,0.083333333,5,-0.01,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,32,KEEP
82,0.166666667,10,0.01,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,32,KEEP
82,0.25,15,0.02,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,32,KEEP
82,0.333333333,20,0.18,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,32,KEEP
87,0,0,0.09,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,33,KEEP
87,0.083333333,5,0.28,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,33,KEEP
87,0.166666667,10,0.11,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,33,KEEP
87,0.25,15,0.69,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,33,KEEP
87,0.333333333,20,0.77,APHA VIRUS,None,4.3,Faecal,TRUE,DATASET12,33,KEEP
